id;valor_total;unit;area_util;quartos;vagas;condominio;suites;banheiros;piscina;academia;quadra;endereco;link;bairro;media_bairro;qtd_dados_bairro;media_idh;media_gini;expectativa_vida;renda_percapita;estacao_prox;linha_prox;dist;lat;lon
526;189900;5934.38;32;2;1;180;0;1;0;1;0;Rua Juá Mirim, 300 - Cidade Tiradentes, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-tiradentes-zona-leste-sao-paulo-com-garagem-32m2-venda-RS189900-id-2548078273/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;SÃO MATEUS;PRATA;6822.82368409;-23.583878700238;-46.4175480002021
734;221110;5142.09;43;2;1;250;0;1;0;0;1;Rua Luís Mateus, 100 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS221110-id-2614484926/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4682.70984080574;-23.5435347002391;-46.4254919002036
738;219990;5116.05;43;1;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-1-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2616541937/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4579.31112265086;-23.5373392002393;-46.4268225002038
753;219990;5116.05;43;2;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2610581288/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4579.31112265086;-23.5373392002393;-46.4268225002038
924;220000;5365.85;41;2;1;300;0;1;1;1;1;Rua Ioneji Matsubayashi, 10 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-41m2-venda-RS220000-id-2524380092/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3313.91870339093;-23.557799300238;-46.443523200203
927;240000;4285.71;56;2;1;220;0;1;0;0;0;Rua Antônio Bruni - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS240000-id-2616777498/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3358.48073988488;-23.5431266002387;-46.4384555002036
928;192000;3254.24;59;2;1;300;0;1;0;0;1;Rua Daniel Mongolo, 195 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-59m2-venda-RS192000-id-2574773043/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3487.99035522673;-23.5386763002389;-46.4374140002037
933;239000;5690.48;42;2;0;320;0;1;0;0;0;Rua Agrimensor Sugaya, 1133 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-42m2-venda-RS239000-id-2582153030/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4097.84644492873;-23.5592323002383;-46.435607100203
937;290000;6304.35;46;2;1;300;0;1;1;1;0;Rua Agrimensor Sugaya, 391 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-46m2-venda-RS290000-id-2580353709/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3441.82268357484;-23.5577673002381;-46.4420511002031
951;280000;3888.89;72;3;1;372;1;1;1;0;0;Rua Agrimensor Sugaya, 1437 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-72m2-venda-RS280000-id-2596451166/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4316.97663955294;-23.5584977002384;-46.432839900203
954;170000;3035.71;56;2;1;;0;1;0;0;0;Rua Lagoa da Barra - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS170000-id-2606118976/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;2836.25604099709;-23.5450716002385;-46.4437146002035
1021;230000;5609.76;41;2;1;200;0;1;1;1;1;Rua Ioneji Matsubayashi, 10 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-41m2-venda-RS230000-id-2526996883/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3313.91870339093;-23.557799300238;-46.443523200203
1022;190000;3877.55;49;2;1;150;0;1;0;0;1;Rua Daniel Mongolo, 180 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-49m2-venda-RS190000-id-2586533151/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3478.07134967762;-23.5389433002389;-46.4374787002037
1023;143190;3579.75;40;2;1;270;0;1;0;0;0;Rua Chubei Takagashi, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-40m2-venda-RS143190-id-2615623294/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;5225.43094312139;-23.5655420002383;-46.4267474002028
1024;168000;3000;56;3;1;250;0;1;0;0;0;Avenida Professor João Batista Conti, 913 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-56m2-venda-RS168000-id-2586504396/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3922.27222528677;-23.5520887002385;-46.4343945002033
1025;211900;5576.32;38;2;0;;0;1;0;0;0;Avenida Nagib Farah Maluf, 1470 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-38m2-venda-RS211900-id-2538021539/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4208.96167096994;-23.5378635002391;-46.4304075002038
1026;190000;3392.86;56;2;1;153;0;1;0;0;0;Rua Marcos Liberi, 189 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-56m2-venda-RS190000-id-2567564890/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3120.99951452512;-23.5473493002385;-46.4412507002034
1027;215000;6718.75;32;2;0;299;0;1;1;0;1;Rua Sílvio Marques Júnior, 1470 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-32m2-venda-RS215000-id-2615976602/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4337.18294167421;-23.5387296002391;-46.4290444002037
1028;275000;5851.06;47;2;1;320;0;1;1;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-47m2-venda-RS275000-id-2572406179/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1029;215210;4678.48;46;2;1;220;0;1;0;0;1;Rua Sal da Terra, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-46m2-venda-RS215210-id-2615626400/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4783.24869696999;-23.5530415002388;-46.4259389002032
1030;271997;5912.98;46;2;1;197;0;1;1;0;1;Rua Agrimensor Sugaya, 391 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-46m2-venda-RS271997-id-2569396206/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3441.82268357484;-23.5577673002381;-46.4420511002031
1031;195039;6094.97;32;2;1;180;0;1;0;0;0;Rua Tomoichi Shimizu, 181 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-32m2-venda-RS195039-id-2533496221/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4983.95976926501;-23.5774431002375;-46.4407365002023
1032;300000;6382.98;47;2;1;300;0;1;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-47m2-venda-RS300000-id-2613521732/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1033;310000;6739.13;46;2;1;200;0;1;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-46m2-venda-RS310000-id-2613521110/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1034;170000;3541.67;48;2;1;230;0;1;0;0;0;Rua Giovanni Quadri - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-48m2-venda-RS170000-id-2605187707/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3857.5839389099;-23.5473927002387;-46.4339500002034
1035;170000;3541.67;48;2;1;;0;1;0;0;0;Rua Giovanni Quadri - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-48m2-venda-RS170000-id-2605180307/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3857.5839389099;-23.5473927002387;-46.4339500002034
1036;179130;3198.75;56;1;1;150;0;1;0;0;0;Rua Marcos Liberi, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-56m2-venda-RS179130-id-2615622113/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3029.49240505938;-23.5474322002384;-46.4421785002034
1039;169150;3252.88;52;2;1;220;0;1;0;0;1;Rua Sal da Terra, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-52m2-venda-RS169150-id-2615623738/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4783.24869696999;-23.5530415002388;-46.4259389002032
1040;300000;6382.98;47;2;1;300;0;1;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-47m2-venda-RS300000-id-2613520763/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1041;190000;5277.78;36;2;0;100;0;1;0;0;0;Rua Juá Mirim, 350 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-36m2-venda-RS190000-id-2578420039/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;SÃO MATEUS;PRATA;6731.32757633072;-23.584434400238;-46.4182459002021
1042;128000;2560;50;2;1;150;0;1;0;0;0;Rua Chubei Takagashi, 651 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-50m2-venda-RS128000-id-2586024757/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;5795.76405129747;-23.5710157002383;-46.4238208002026
1043;300000;4761.9;63;3;1;550;1;2;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-63m2-venda-RS300000-id-2613516274/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1044;199000;7653.85;26;1;0;;0;1;0;0;0;José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jose-bonifacio-zona-leste-sao-paulo-26m2-venda-RS199000-id-2585108740/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3686.84063520717;-23.5513114002385;-46.4365529002033
1045;350000;5000;70;3;1;596;1;2;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-70m2-venda-RS350000-id-2613517485/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1046;350000;5000;70;3;1;596;1;2;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-70m2-venda-RS350000-id-2613516439/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1047;319000;6934.78;46;2;1;200;0;1;1;0;1;Rua Agrimensor Sugaya, 391 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-46m2-venda-RS319000-id-2598153257/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3441.82268357484;-23.5577673002381;-46.4420511002031
1048;216062;6173.2;35;2;0;300;0;1;1;0;1;Avenida Nagib Farah Maluf, 1470 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-35m2-venda-RS216062-id-2573484443/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4208.96167096994;-23.5378635002391;-46.4304075002038
1049;212001;4000.02;53;2;1;240;0;1;0;0;0;José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-53m2-venda-RS212001-id-2534809257/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3686.84063520717;-23.5513114002385;-46.4365529002033
1050;325000;5909.09;55;3;1;280;0;1;0;0;0;Rua Agrimensor Sugaya - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-55m2-venda-RS325000-id-2613516351/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4010.72043070584;-23.5596551002382;-46.436813500203
1051;170000;3035.71;56;2;1;150;0;1;0;0;0;Rua José Melani, 62 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-56m2-venda-RS170000-id-2553572344/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3729.5883632352;-23.5415763002389;-46.4348210002036
1052;164660;3430.42;48;2;1;120;0;1;0;0;0;Rua José Ariza, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-48m2-venda-RS164660-id-2609654024/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3419.60131966821;-23.5556485002382;-46.4410968002031
1053;150000;3260.87;46;2;1;130;0;1;0;0;0;Rua Francisco Albani - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-46m2-venda-RS150000-id-2605187598/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3833.09220379751;-23.5446966002388;-46.4338809002035
269;245000;4375;56;2;2;411;1;1;1;0;1;Avenida Jacobus Baldi - Campo Limpo, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-limpo-zona-sul-sao-paulo-com-garagem-56m2-venda-RS245000-id-2574604551/;JARDIM SAO LUIS;5094.11515151515;33;0.76296875;0.43875;75.7309375;1137.373125;CAMPO LIMPO;LILAS;1238.79246708085;-23.6550374002244;-46.748702700199
283;230000;4259.26;54;2;1;390;1;1;0;0;0;Rua Antônio de Souza Lobo, 143 - Campo Limpo, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-limpo-zona-sul-sao-paulo-com-garagem-54m2-venda-RS230000-id-2545466278/;JARDIM SAO LUIS;5094.11515151515;33;0.76296875;0.43875;75.7309375;1137.373125;GIOVANNI GRONCHI;LILAS;1491.63538460949;-23.6549230002246;-46.7429663001991
1317;280000;4666.67;60;2;1;600;0;2;0;0;1;Estrada de Itapecerica, 2006 - Jardim São Luís, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-luis-zona-sul-sao-paulo-com-garagem-60m2-venda-RS280000-id-2428265398/;JARDIM SAO LUIS;5094.11515151515;33;0.76296875;0.43875;75.7309375;1137.373125;CAMPO LIMPO;LILAS;697.198953913299;-23.6489740002245;-46.7524110001993
1318;300000;5454.55;55;2;1;250;1;2;1;1;1;Avenida Maria Coelho Aguiar, 298 - Jardim São Luís, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-luis-zona-sul-sao-paulo-com-garagem-55m2-venda-RS300000-id-2603458380/;JARDIM SAO LUIS;5094.11515151515;33;0.76296875;0.43875;75.7309375;1137.373125;GIOVANNI GRONCHI;LILAS;540.082775406978;-23.6485339002252;-46.7323167001993
1319;240000;4800;50;2;1;400;0;1;0;0;0;Rua Antônio de Souza Lobo, 143 - Jardim São Luís, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-luis-zona-sul-sao-paulo-com-garagem-50m2-venda-RS240000-id-1038146083/;JARDIM SAO LUIS;5094.11515151515;33;0.76296875;0.43875;75.7309375;1137.373125;GIOVANNI GRONCHI;LILAS;1508.20290017667;-23.6552905002246;-46.7426819001991
